Latitude,Longitude,Nationality,Year,LogbookLanguage,VoyageIni
-28.1667,101.45,Dutch,1846,Dutch,1.85E+07
-27.0667,101.683,Dutch,1846,Dutch,1.85E+07
-26.0667,101.8,Dutch,1846,Dutch,1.85E+07
-23.1167,103.317,Dutch,1846,Dutch,1.85E+07
-19.5833,104.05,Dutch,1846,Dutch,1.85E+07
-15.9833,104.85,Dutch,1846,Dutch,1.85E+07
-12.6167,105.95,Dutch,1846,Dutch,1.85E+07
-9.3,105.6,Dutch,1846,Dutch,1.85E+07
-40.3833,51.3667,Dutch,1848,Dutch,1.85E+07
-40.3167,56.4167,Dutch,1848,Dutch,1.85E+07
-40.3833,61.9,Dutch,1848,Dutch,1.85E+07
-40.0333,66.5667,Dutch,1848,Dutch,1.85E+07
-39.4833,69.9667,Dutch,1848,Dutch,1.85E+07
-38.8667,74.9,Dutch,1848,Dutch,1.85E+07
-38.5167,79.45,Dutch,1848,Dutch,1.85E+07
-19.45,72.9833,Dutch,1846,Dutch,1.85E+07
-20.5333,69.8,Dutch,1846,Dutch,1.85E+07
-21.4667,66.85,Dutch,1846,Dutch,1.85E+07
-22.3,64.3167,Dutch,1846,Dutch,1.85E+07
-22.5833,63,Dutch,1846,Dutch,1.85E+07
-22.6167,62.1,Dutch,1846,Dutch,1.85E+07
-23.15,60.65,Dutch,1846,Dutch,1.85E+07
-23.9333,58.2333,Dutch,1846,Dutch,1.85E+07
-24.4333,56.4833,Dutch,1846,Dutch,1.85E+07
-25.0667,54.2167,Dutch,1846,Dutch,1.85E+07
-26.2167,51.2,Dutch,1846,Dutch,1.85E+07
-27.3167,48.35,Dutch,1846,Dutch,1.85E+07
-27.9667,46.5833,Dutch,1846,Dutch,1.85E+07
-29.2333,44.7333,Dutch,1846,Dutch,1.85E+07
-30.1333,41.7833,Dutch,1846,Dutch,1.85E+07
-30.8333,40.2833,Dutch,1846,Dutch,1.85E+07
-31.3,38.0667,Dutch,1846,Dutch,1.85E+07
-31.6167,36.7167,Dutch,1846,Dutch,1.85E+07
-31.9333,35.7333,Dutch,1846,Dutch,1.85E+07
-33.0167,33.7667,Dutch,1846,Dutch,1.85E+07
-33.6833,31.55,Dutch,1846,Dutch,1.85E+07
-32.6667,13.7667,Dutch,1846,Dutch,1.85E+07
-30.4667,10.95,Dutch,1846,Dutch,1.85E+07
-28.7833,8.26667,Dutch,1846,Dutch,1.85E+07
-27.3,5.93333,Dutch,1846,Dutch,1.85E+07
-25.5,3.38333,Dutch,1846,Dutch,1.85E+07
-24.9833,2.66667,Dutch,1846,Dutch,1.85E+07
18.5167,-32.6333,Dutch,1843,Dutch,1.84E+07
20.15,-33.6167,Dutch,1843,Dutch,1.84E+07
-13.1167,115.2,Dutch,1845,Dutch,1.85E+07
-13.8167,114.883,Dutch,1845,Dutch,1.85E+07
-13.8,114.183,Dutch,1845,Dutch,1.85E+07
-14.7167,114.483,Dutch,1845,Dutch,1.85E+07
-16.1333,114.833,Dutch,1845,Dutch,1.85E+07
-17.8,115.283,Dutch,1845,Dutch,1.85E+07
-18.7667,115.167,Dutch,1845,Dutch,1.85E+07
-19.55,114.767,Dutch,1845,Dutch,1.85E+07
-20.1,114.217,Dutch,1845,Dutch,1.85E+07
-20.7333,113.95,Dutch,1845,Dutch,1.85E+07
-20.5833,112.867,Dutch,1845,Dutch,1.85E+07
-19.9167,111.55,Dutch,1845,Dutch,1.85E+07
-19.3,109.883,Dutch,1845,Dutch,1.85E+07
-19.3,107.15,Dutch,1845,Dutch,1.85E+07
-19.1667,103.633,Dutch,1845,Dutch,1.85E+07
-19.3167,99.9333,Dutch,1845,Dutch,1.85E+07
